DATA INICIAL,DATA FINAL,REGIAO,ESTADO,PRODUTO,NUMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PREÇO MEDIO REVENDA,DESVIO PADRAO REVENDA,PRECO MINIMO REVENDA,PRECO MAXIMO REVENDA,MARGEM MEDIA REVENDA,COEF DE VARIACAO REVENDA,PRECO MEDIO DISTRIBUICAO,DESVIO PADRAO DISTRIBUICAO,PREÇO MINIMO DISTRIBUICAO,PRECO MAXIMO DISTRIBUICAO,COEF DE VARIACAO DISTRIBUICAO
03/02/2013,09/02/2013,NORDESTE,ALAGOAS,ETANOL HIDRATADO,97,R$/l,2.324,0.082,2.150,2.600,0.262,0.035,2.062,0.089,1.707,2.228,0.043
03/02/2013,09/02/2013,NORTE,AMAPA,ETANOL HIDRATADO,7,R$/l,2.292,0.090,2.180,2.450,0.319,0.039,1.973,0.000,1.973,1.973,0.000
03/02/2013,09/02/2013,NORTE,AMAZONAS,ETANOL HIDRATADO,72,R$/l,2.356,0.099,2.250,2.800,0.214,0.042,2.142,0.067,1.905,2.254,0.031
03/02/2013,09/02/2013,NORDESTE,BAHIA,ETANOL HIDRATADO,408,R$/l,2.238,0.126,1.920,2.640,0.309,0.056,1.929,0.107,1.633,2.248,0.055
03/02/2013,09/02/2013,NORDESTE,CEARA,ETANOL HIDRATADO,205,R$/l,2.284,0.086,2.090,2.560,0.213,0.038,2.071,0.060,1.923,2.184,0.029
03/02/2013,09/02/2013,CENTRO OESTE,DISTRITO FEDERAL,ETANOL HIDRATADO,79,R$/l,2.264,0.016,2.190,2.299,0.237,0.007,2.027,0.000,2.027,2.027,0.000
03/02/2013,09/02/2013,SUDESTE,ESPIRITO SANTO,ETANOL HIDRATADO,172,R$/l,2.485,0.085,2.150,2.790,0.330,0.034,2.155,0.086,1.943,2.422,0.040
03/02/2013,09/02/2013,CENTRO OESTE,GOIAS,ETANOL HIDRATADO,255,R$/l,1.983,0.106,1.790,2.270,0.286,0.053,1.697,0.074,1.581,1.856,0.044
03/02/2013,09/02/2013,NORDESTE,MARANHAO,ETANOL HIDRATADO,105,R$/l,2.360,0.123,1.999,2.720,0.240,0.052,2.120,0.116,1.840,2.257,0.055
03/02/2013,09/02/2013,CENTRO OESTE,MATO GROSSO,ETANOL HIDRATADO,141,R$/l,1.971,0.102,1.650,2.190,0.390,0.052,1.581,0.090,1.320,1.713,0.057
